# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
30.420     180.000     75.500     174.000     1.45289e-01
30.420     180.000     48.000     2.000     4.36813e-01
30.420     180.000     53.500     184.000     9.11292e-02
30.420     180.000     57.000     352.000     4.27816e-01
30.420     180.000     74.000     303.000     2.39959e-01
30.420     180.000     10.000     208.000     1.53355e-01
30.420     180.000     23.500     15.000     3.71646e-01
30.420     180.000     61.000     203.000     1.05385e-01
30.420     180.000     70.500     31.000     3.00158e-01
30.420     180.000     89.000     202.000     1.93252e-01
30.420     180.000     35.000     354.000     3.99328e-01
30.420     180.000     66.500     280.000     1.76414e-01
30.420     180.000     26.500     54.000     2.79142e-01
30.420     180.000     33.500     163.000     9.37885e-02
30.420     180.000     72.500     230.000     1.41173e-01
30.420     180.000     57.000     1.000     4.32897e-01
30.420     180.000     20.000     45.000     3.13814e-01
30.420     180.000     14.500     113.000     1.58945e-01
30.420     180.000     26.500     199.000     1.06086e-01
30.420     180.000     26.000     105.000     1.42401e-01
30.420     180.000     70.000     254.000     1.49089e-01
30.420     180.000     17.500     13.000     4.46370e-01
30.420     180.000     50.000     98.000     1.25186e-01
30.420     180.000     69.500     76.000     1.83229e-01
30.420     180.000     24.500     304.000     2.74081e-01
30.420     180.000     25.000     70.000     2.17192e-01
30.420     180.000     63.000     15.000     3.62900e-01
30.420     180.000     2.500     357.000     2.32854e-01
30.420     180.000     17.500     331.000     3.64987e-01
30.420     180.000     26.500     278.000     2.00879e-01
30.420     180.000     46.000     273.000     1.51018e-01
30.420     180.000     22.500     247.000     1.40189e-01
30.420     180.000     16.000     10.000     4.37063e-01
30.420     180.000     66.000     100.000     1.40615e-01
30.420     180.000     12.500     295.000     2.53935e-01
30.420     180.000     57.000     95.000     1.32099e-01
30.420     180.000     51.500     324.000     3.27144e-01
30.420     180.000     34.000     350.000     3.99226e-01
30.420     180.000     63.000     210.000     1.11609e-01
30.420     180.000     76.000     136.000     1.54075e-01
30.420     180.000     89.500     85.000     1.95547e-01
24.919     180.000     61.000     5.000     4.23509e-01
24.919     180.000     14.500     175.000     2.54837e-01
24.919     180.000     59.000     241.000     1.58409e-01
24.919     180.000     85.500     336.000     3.35220e-01
24.919     180.000     84.500     224.000     2.81861e-01
24.919     180.000     39.000     11.000     4.85853e-01
24.919     180.000     88.500     165.000     2.61889e-01
24.919     180.000     78.000     132.000     3.02719e-01
24.919     180.000     83.000     153.000     2.82788e-01
24.919     180.000     55.000     226.000     2.57626e-01
24.919     180.000     60.500     52.000     2.75569e-01
24.919     180.000     33.500     36.000     5.16260e-01
24.919     180.000     19.500     264.000     3.42626e-01
24.919     180.000     56.500     253.000     1.72168e-01
24.919     180.000     77.000     33.000     3.14858e-01
